Tag	Type	ID	TPRX2P	LHX8	FOXQ1	PAX9	EGR2	ELK3	ETV5	FOXI1	KLF3	LHX4	ETV4	TLX3	PAX2	SOX10	PAX7	SP7	KLF12	HOXB2	ERG	ETS1	VSX1	GCM1	HNF1B	PAX6	IRF9	TBXT	FOXJ2	TBX21
TCGA-DU-6401-01	Central Nervous	TCGA-DU-6401-01	-9.9658	-9.9658	2.1541	-3.8160	4.7367	3.0323	1.7702	-9.9658	3.9700	-3.3076	-0.5973	-9.9658	-6.5064	0.0440	-5.5735	-4.0350	3.3364	-2.0529	3.3364	5.0273	-3.6259	-6.5064	-9.9658	4.9184	5.4754	-9.9658	3.4237	-2.9324
TCGA-DU-6392-01	Central Nervous	TCGA-DU-6392-01	-9.9658	-9.9658	-1.7322	-5.5735	4.4443	3.0910	5.5735	-9.9658	4.4810	-2.3884	2.0218	-2.9324	-5.0116	8.5393	-4.6082	-2.2447	3.3061	-2.6349	2.4171	6.2240	1.5115	-5.0116	-6.5064	2.4008	6.4123	-5.0116	3.7280	-1.8836
TCGA-S9-A7R8-01	Central Nervous	TCGA-S9-A7R8-01	-9.9658	-5.5735	-0.9406	-1.7322	1.5806	2.9394	2.7721	-9.9658	4.1294	-0.8863	-1.6850	-9.9658	-2.8262	4.8319	-6.5064	-2.3884	4.0118	-0.3383	0.7748	5.3165	-5.5735	-9.9658	-4.2934	3.4251	7.1776	-9.9658	3.7539	-3.6259
TCGA-S9-A6WP-01	Central Nervous	TCGA-S9-A6WP-01	-9.9658	-6.5064	-2.1779	-3.4580	2.4252	2.1541	5.2388	-6.5064	4.0748	-1.6394	2.0218	-5.5735	-3.1714	4.5355	-6.5064	-2.2447	3.1813	-2.4659	1.9226	4.6560	-0.6873	-5.5735	-5.5735	3.6382	6.6068	-9.9658	3.3842	-1.5105
TCGA-S9-A6U1-01	Central Nervous	TCGA-S9-A6U1-01	-9.9658	-2.9324	-1.6394	-1.8836	5.3360	3.0074	3.4116	-9.9658	4.3744	-0.5973	-0.8084	-9.9658	-5.5735	4.9796	-5.0116	-3.4580	3.5237	-0.5756	2.0111	4.3249	-3.1714	-6.5064	-5.5735	4.7629	5.9727	-9.9658	3.4088	-1.5951
TCGA-HT-7475-01	Central Nervous	TCGA-HT-7475-01	-9.9658	-9.9658	-2.5479	-4.6082	0.4552	1.4065	3.6994	-9.9658	3.2251	-1.0862	-0.1665	-9.9658	-5.0116	4.1764	-1.6850	-2.5479	2.7508	-3.8160	1.4600	4.6877	-0.3940	-6.5064	-9.9658	4.6154	5.8202	-9.9658	3.3105	-4.2934
TCGA-E1-A7YV-01	Central Nervous	TCGA-E1-A7YV-01	-9.9658	-5.5735	-0.5332	1.6920	2.6232	2.2960	3.1987	-5.5735	4.0357	-0.5543	-0.4325	-3.1714	-3.8160	5.3158	-4.2934	-4.2934	3.7345	-2.3147	2.0254	4.3068	-1.8314	-3.6259	-5.5735	4.4370	5.8664	-1.7322	3.4277	-0.4325
TCGA-DH-5143-01	Central Nervous	TCGA-DH-5143-01	-9.9658	-9.9658	-0.6643	-3.0469	4.3111	2.8055	3.6578	-9.9658	3.8167	-2.9324	0.2522	-9.9658	-2.6349	4.7165	-3.8160	-4.0350	3.0092	-1.7809	0.8805	3.5111	-2.8262	-6.5064	-5.5735	5.7861	6.1936	-9.9658	3.4504	-3.8160
TCGA-S9-A6WO-01	Central Nervous	TCGA-S9-A6WO-01	-9.9658	-9.9658	-3.6259	-4.2934	3.7529	2.9469	3.7324	-9.9658	4.3590	-0.8863	-1.0862	-9.9658	-2.9324	2.7357	-6.5064	-2.1779	3.2944	-1.2142	0.2400	3.4894	-4.0350	-6.5064	-5.5735	4.8334	5.8415	-6.5064	3.5911	-9.9658
TCGA-W9-A837-01	Central Nervous	TCGA-W9-A837-01	-9.9658	-5.5735	-1.7809	-2.8262	2.8341	2.0076	5.5747	-9.9658	4.1002	-1.5105	3.0056	-9.9658	-2.8262	3.0340	-1.3548	-2.6349	3.5645	-2.4659	1.0222	4.4088	-0.1993	-9.9658	-9.9658	4.3972	6.0560	-9.9658	3.4622	-4.2934
